"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","With VIEW_VULNERABILITY But Without VULNERABILITY_ANALYSIS Permission The User ...","chromium_test_workflow","Fri Jan 16 00:23:59 UTC 2026","skipped","Fri Jan 16 00:23:59 UTC 2026","VIEW_PORTFOLIO x VIEW_VULNERABILITY x VULNERABILITY_ANALYSIS","playwright-tests/features/@permissions/view-vulnerability_x_vulnerability-analysis.feature.spec.js","",""
"","0","The Admin User Creates A Custom Component Inside A Test Project","chromium_test_workflow","Fri Jan 16 00:23:59 UTC 2026","skipped","Fri Jan 16 00:23:59 UTC 2026","Create Custom Component","playwright-tests/features/@projects/create_custom_component.feature.spec.js","",""
"","21035","Provide Test Users With Respective Permissions","setup_provisioning","Fri Jan 16 00:23:37 UTC 2026","failed","Fri Jan 16 00:23:58 UTC 2026","","../setup/playwright-tests/features/@setup/provisioning.feature.spec.js","",""
"","0","The Admin User Sets A Test Project To Inactive","chromium_test_workflow","Fri Jan 16 00:23:59 UTC 2026","skipped","Fri Jan 16 00:23:59 UTC 2026","Make Project Inactive","playwright-tests/features/@projects/make_project_inactive.feature.spec.js","",""
"","0","With VIEW_PORTFOLIO Permissions The User Tries To Log In With Wrong Credentials","chromium_test_workflow","Fri Jan 16 00:23:59 UTC 2026","skipped","Fri Jan 16 00:23:59 UTC 2026","VIEW_PORTFOLIO","playwright-tests/features/@permissions/view-portfolio.feature.spec.js","",""
"","0","With VIEW_POLICY_VIOLATION But Without POLICY_VIOLATION_ANALYSIS Permission The User Can See Audit View On Policy Violations Project Page But Cannot Audit Them","chromium_test_workflow","Fri Jan 16 00:23:59 UTC 2026","skipped","Fri Jan 16 00:23:59 UTC 2026","VIEW_PORTFOLIO x VIEW_POLICY_VIOLATION x POLICY_VIOLATION_ANALYSIS","playwright-tests/features/@permissions/view-policy-violation_x_policy-violation-analysis.feature.spec.js","",""
"","0","Without VIEW_VULNERABILITY Permission The User Cannot See Management Buttons For Projects","chromium_test_workflow","Fri Jan 16 00:23:59 UTC 2026","skipped","Fri Jan 16 00:23:59 UTC 2026","VIEW_PORTFOLIO x VIEW_VULNERABILITY","playwright-tests/features/@permissions/view-vulnerabiliy.feature.spec.js","",""
"","1","Without SYSTEM_CONFIGURATION Permission The User Cannot See Administration Tab","chromium_test_workflow","Fri Jan 16 00:23:59 UTC 2026","skipped","Fri Jan 16 00:23:59 UTC 2026","VIEW_PORTFOLIO x SYSTEM_CONFIGURATION","playwright-tests/features/@permissions/system-configuration.feature.spec.js","",""
"","7967","Create Test Vulnerability","setup_provisioning","Fri Jan 16 00:22:46 UTC 2026","passed","Fri Jan 16 00:22:54 UTC 2026","","../setup/playwright-tests/features/@setup/provisioning.feature.spec.js","",""
"","0","With SYSTEM_CONFIGURATION Permission The User Can See Administration Tab","chromium_test_workflow","Fri Jan 16 00:23:59 UTC 2026","skipped","Fri Jan 16 00:23:59 UTC 2026","VIEW_PORTFOLIO x SYSTEM_CONFIGURATION","playwright-tests/features/@permissions/system-configuration.feature.spec.js","",""
"","0","The Admin User Suppresses A Policy Violation","chromium_test_workflow","Fri Jan 16 00:23:59 UTC 2026","skipped","Fri Jan 16 00:23:59 UTC 2026","Try Creating Existing Project","playwright-tests/features/@projects/try_creating_existing_project.feature.spec.js","",""
"","0","The Admin User Validates A Test Project With A Recently Uploaded BOM","chromium_test_workflow","Fri Jan 16 00:23:59 UTC 2026","skipped","Fri Jan 16 00:23:59 UTC 2026","Validate BOM Upload","playwright-tests/features/@projects/validate_bom_upload.feature.spec.js","",""
"","0","The Admin User Deletes A Custom Component Inside A Test Project","chromium_test_workflow","Fri Jan 16 00:23:59 UTC 2026","skipped","Fri Jan 16 00:23:59 UTC 2026","Create Custom Component","playwright-tests/features/@projects/create_custom_component.feature.spec.js","",""
"","3828","Delete All Test Policies Before Tests","setup_provisioning","Fri Jan 16 00:21:35 UTC 2026","passed","Fri Jan 16 00:21:39 UTC 2026","","../setup/playwright-tests/features/@setup/provisioning.feature.spec.js","",""
"","0","The Admin User Applies Vex Inside A Test Project","chromium_test_workflow","Fri Jan 16 00:23:59 UTC 2026","skipped","Fri Jan 16 00:23:59 UTC 2026","Create Custom Component","playwright-tests/features/@projects/apply_vex_to_project.feature.spec.js","",""
"","0","With POLICY_MANAGEMENT Permission The User Can See The Policy Management Tab","chromium_test_workflow","Fri Jan 16 00:23:59 UTC 2026","skipped","Fri Jan 16 00:23:59 UTC 2026","VIEW_PORTFOLIO x POLICY_MANAGEMENT","playwright-tests/features/@permissions/policy-management.feature.spec.js","",""
"","0","The Admin User Suppresses A Policy Violation","chromium_test_workflow","Fri Jan 16 00:23:59 UTC 2026","skipped","Fri Jan 16 00:23:59 UTC 2026","Suppress Violation Against Policy","playwright-tests/features/@projects/suppress_violation_against_policy.feature.spec.js","",""
"","0","The Admin User Verifies Vex Application Inside A Test Project","chromium_test_workflow","Fri Jan 16 00:23:59 UTC 2026","skipped","Fri Jan 16 00:23:59 UTC 2026","Create Custom Component","playwright-tests/features/@projects/apply_vex_to_project.feature.spec.js","",""
"","0","Without PORTFOLIO_MANAGEMENT Permission The User Cannot See Management Buttons For Projects","chromium_test_workflow","Fri Jan 16 00:23:59 UTC 2026","skipped","Fri Jan 16 00:23:59 UTC 2026","VIEW_PORTFOLIO x PORTFOLIO_MANAGEMENT","playwright-tests/features/@permissions/portfolio-management.feature.spec.js","",""
"","0","With VIEW_POLICY_VIOLATION Permission The User Can See Audit View On Policy Violations Project Page","chromium_test_workflow","Fri Jan 16 00:23:59 UTC 2026","skipped","Fri Jan 16 00:23:59 UTC 2026","VIEW_PORTFOLIO x VIEW_POLICY_VIOLATION","playwright-tests/features/@permissions/view-policy-violation.feature.spec.js","",""
"","14009","Create Test Policies","setup_provisioning","Fri Jan 16 00:22:32 UTC 2026","passed","Fri Jan 16 00:22:46 UTC 2026","","../setup/playwright-tests/features/@setup/provisioning.feature.spec.js","",""
"","0","With VULNERABILITY_MANAGEMENT Permission The User Can See The Vulnerability Create Button","chromium_test_workflow","Fri Jan 16 00:23:59 UTC 2026","skipped","Fri Jan 16 00:23:59 UTC 2026","VIEW_PORTFOLIO x VULNERABILITY_MANAGEMENT","playwright-tests/features/@permissions/vulnerability-management.feature.spec.js","",""
"","0","With SYSTEM_CONFIGURATION But Without ACCESS_MANAGEMENT Permission The User Cannot See Access Management Menu","chromium_test_workflow","Fri Jan 16 00:23:59 UTC 2026","skipped","Fri Jan 16 00:23:59 UTC 2026","VIEW_PORTFOLIO x SYSTEM_CONFIGURATION x ACCESS_MANAGEMENT","playwright-tests/features/@permissions/system-configuration_x_access-management.feature.spec.js","",""
"","0","With VIEW_VULNERABILITY Permission The User ...","chromium_test_workflow","Fri Jan 16 00:23:59 UTC 2026","skipped","Fri Jan 16 00:23:59 UTC 2026","VIEW_PORTFOLIO x VIEW_VULNERABILITY x VULNERABILITY_ANALYSIS","playwright-tests/features/@permissions/view-vulnerability_x_vulnerability-analysis.feature.spec.js","",""
"","0","With VIEW_PORTFOLIO Permission The User Verifies Access","chromium_test_workflow","Fri Jan 16 00:23:59 UTC 2026","skipped","Fri Jan 16 00:23:59 UTC 2026","VIEW_PORTFOLIO","playwright-tests/features/@permissions/view-portfolio.feature.spec.js","",""
"","0","With TAG_MANAGEMENT Permission The User Can See The Tag Management Tab","chromium_test_workflow","Fri Jan 16 00:23:59 UTC 2026","skipped","Fri Jan 16 00:23:59 UTC 2026","VIEW_PORTFOLIO x TAG_MANAGEMENT","playwright-tests/features/@permissions/tag-management.feature.spec.js","",""
"","0","With VIEW_POLICY_VIOLATION x POLICY_VIOLATION_ANALYSIS Permission The User Can See Audit View On Policy Violations Project Page And Can Audit Them","chromium_test_workflow","Fri Jan 16 00:23:59 UTC 2026","skipped","Fri Jan 16 00:23:59 UTC 2026","VIEW_PORTFOLIO x VIEW_POLICY_VIOLATION x POLICY_VIOLATION_ANALYSIS","playwright-tests/features/@permissions/view-policy-violation_x_policy-violation-analysis.feature.spec.js","",""
